creators,date,ol_id,publisher,title,trove_url,version_id,work_id
"South Australia. Dept. of Mines.|Gee, Lionel C. E.|Brown, Henry Yorke Lyell, 1844-",1908,OL7001762M,"Adelaide C. E. Bristow, Government Printer","Record of the mines of South Australia. Compiled under the authority of the Hon. Laurence O'Loughlin, by Lionel C. E. Gee.  H. Y.L. Brown, Government Geologist.",https://trove.nla.gov.au/version/1095100,1095100,1014537
N. L. Ray,1981,OL4112190M,New York Macmillan,There was this man running N.L. Ray.,https://trove.nla.gov.au/version/182025779,182025779,10150204
"Lonsdale, Richard E.|Holmes, John Harvey.",1981,OL20963459M,New York Pergamon Press,"Settlement systems in sparsely populated regions theUnited States and Australia edited by Richard E. Lonsdale, John H. Holmes.",https://trove.nla.gov.au/version/261838301,261838301,10150337
Patrick White 1912-1990,1964,OL5917551M,New York Viking Press,The burnt ones.,https://trove.nla.gov.au/version/261831356,261831356,10160398
Angel Anguiano 1840-1921,1886,OL7002781M,Mexico Oficina tip. de la Secretaría de fomento,"Longitud del Observatorio astronómico nacional mexicano por señales telegráficas cambiadas directamente entre St. Louis, Missouri (E.U. de A.) y Tacubaya. Observador en Tacubaya, ingeniero Ángel Anguiano. Memoria que escribió y presenta á la Secretaría de fomento el ingeniero Angel Anguiano ...",https://trove.nla.gov.au/version/1097027,1097027,1016388
"Ward, Thomas of Queensland.|Fountain, Paul.",1907,OL7002922M,London J. Murray,Rambles of an Australian naturalist written by Paul Fountain ... from the notes and journals of Thomas Ward.,https://trove.nla.gov.au/version/1097248,1097248,1016603
Eric Michaels,1994,OL1397606M,Minneapolis University of Minnesota Press,"Bad Aboriginal art tradition, media, and technological horizons Eric Michaels ; foreword by Dick Hebdige ; introduction by Marcia Langton.",https://trove.nla.gov.au/version/207822189,207822189,10168279
Ian Keen,1994,OL1406103M,Oxford Clarendon Press,Knowledge and secrecy in an aboriginal religion Ian Keen.,https://trove.nla.gov.au/version/261827752,261827752,10171843
Madeline Donaldson,2005,OL3680099M,"Minneapolis, Minn Lerner Publications Co.",Australia by Madeline Donaldson.,https://trove.nla.gov.au/version/254017381,254017381,10171901
"Great Britain. Court of King's Bench.|Saunders, Edmund, Sir, d. 1683, reporter.|Williams, John, 1757-1810, ed.|Patteson, John, Sir, 1790-1861, joint ed.|Williams, Edward Vaughan, Sir, 1797-1875, joint ed.",1833,OL7003303M,New York O. Halsted,"The reports of the most learned Sir Edmund Saunders, knt. of several pleadings and cases in the Court of King's Bench, in the time of the reign of His Most Excellent Majesty King Charles the Second. [1666-1672] Edited, with notes and references to the pleadings and cases, by John Williams.",https://trove.nla.gov.au/version/1097910,1097910,1017238
William D. Hartung,2003,OL15548585M,New York Nation Books,"How much are you making on the war, daddy? a quick and dirty guide to war profiteering in the George W. Bush Administration William D. Hartung.",https://trove.nla.gov.au/version/50587049,50587049,10178268
Evan Green,1986,OL2376093M,New York St. Martin's Press,Adam's empire Evan Green.,https://trove.nla.gov.au/version/209695677,209695677,10182056
Fred Argy,2003,OL8648450M,Allen & Unwin Academic,Where to from Here? Australian Egalitarianism Under ThreatPaperback,https://trove.nla.gov.au/version/261085499,261085499,10183572
Jon Cleary 1917-,1981,OL4111813M,New York Morrow,The golden sabre Jon Cleary.,https://trove.nla.gov.au/version/49243061,49243061,10184383
Bruce Woodcock,1996,OL966315M,New York Manchester University Press,Peter Carey Bruce Woodcock.,https://trove.nla.gov.au/version/207970662,207970662,10184518
JAMES JUPP,uuuu,OL22596449M,PORT MELBOURNE CAMBRIDGE UNIV PRESS,ENGLISH IN AUSTRALIA.,https://trove.nla.gov.au/version/260759075,260759075,10184653
"Paleg, L. G. 1929-|Aspinall, D.",1981,OL4123364M,Sydney Academic Press,The Physiology and biochemistry of drought resistance in plants edited by L.G. Paleg and D. Aspinall.,https://trove.nla.gov.au/version/254001285,254001285,10187946
Jan Carter,1981,OL22099571M,"Ringwood, Vic Penguin Books",Nothing to spare recollections of Australian pioneering women Jan Carter.,https://trove.nla.gov.au/version/208064844,208064844,10187954
Elizabeth Kata,1982,OL3781468M,New York St. Martin's Press,The death of Ruth by Elizabeth Kata.,https://trove.nla.gov.au/version/176701090,176701090,10188059
Valerie Parv|Copyright Paperback Collection (Library of Congress),2003,OL3386629M,New York Silhouette Books,The Princess & the masked man Valerie Parv.,https://trove.nla.gov.au/version/174030661,174030661,10198361
,1971,OL5314847M,Seattle University of Washington Press,"Tiwi wives a study of the women of Melville Island, North Australia [by] Jane C. Goodale.Paperback",https://trove.nla.gov.au/version/207943210,207943210,10201532
Campbell R. McConnell,2010,OL26601449M,"[Whitby, Ont.] McGraw-Hill Ryerson",Microeconomics Campbell R. McConnell ... [et al.].,https://trove.nla.gov.au/version/260216293,260216293,10202314
Campbell R. McConnell,2004,OL9260096M,Irwin/McGraw-Hill,MicroeconomicsPaperback,https://trove.nla.gov.au/version/261847358,261847358,10202314
"Campbell R. McConnell|Barbiero, Thomas Paul, 1952-|Brue, Stanley L., 1945-",2003,OL26447602M,Toronto McGraw-Hill Ryerson,"Microeconomics Campbell R. McConnell, Stanley L. Brue, Thomas P. Barbiero",https://trove.nla.gov.au/version/260762602,260762602,10202314
"Campbell R. McConnell|Brue, Stanley L., 1945-|Barbiero, Thomas Paul, 1952-",2002,OL22162604M,"Whitby, Ont McGraw-Hill Ryerson","Microeconomics Campbell R. McConnell, Stanley L. Brue, Thomas P. Barbiero.",https://trove.nla.gov.au/version/261849870,261849870,10202314
"Peter Hillary|Elder, John E.",2003,OL22574673M,New York Free Press,In the ghost country a lifetime spent on the edge Peter Hillary and John E. Elder.,https://trove.nla.gov.au/version/245473023,245473023,10205010
Graeme Aitken 1963-,2006,OL8802099M,Green Candy Press,50 Ways of Saying FabulousPaperback,https://trove.nla.gov.au/version/208183506,208183506,10209034
"Andrews, Jean 1946-",2010,OL25193055M,Australia Course Technology,"A+ guide to software managing, maintaining, and troubleshooting Jean Andrews",https://trove.nla.gov.au/version/207878539,207878539,10210012
"Andrews, Jean 1946-",2007,OL20754732M,Australia Thomson Course Technology,"A+ guide to software managing, maintaining, and troubleshooting Jean Andrews.",https://trove.nla.gov.au/version/176692435,176692435,10210012
"Andrews, Jean 1946-",2006,OL24943126M,Australia Thomson/Course Technology,"A+ guide to software managing, maintaining, and troubleshooting Jean Andrews",https://trove.nla.gov.au/version/172819402,172819402,10210012
Margaret Sikes Land,2002,OL8633833M,Sally Milner Publishing,Embellish with EmbroideryPaperback,https://trove.nla.gov.au/version/261858327,261858327,10210327
José María Salaverría 1873-1940,1918,OL6623602M,Madrid Calleja,"El poema de la pampa ""Martín Fierro"" y el criollismo español.",https://trove.nla.gov.au/version/261866605,261866605,10212690
Sonia Jackson,2004,OL7490810M,Routledge,People Under Three Young Children in Day Care,https://trove.nla.gov.au/version/261875221,261875221,10214512
"Elinor Goldschmied|Jackson, Sonia.",1994,OL1399697M,London Routledge,People under three young children in day care Elinor Goldschmied and Sonia Jackson.,https://trove.nla.gov.au/version/208052342,208052342,10214512
Ruth Fincher (Editor)|Peter Saunders (Editor),2001,OL8648293M,Allen & Unwin,"Creating Unequal Futures? Rethinking Poverty, Inequality and DisadvantagePaperback",https://trove.nla.gov.au/version/208078188,208078188,10215750
Verity Burgmann,2003,OL8907602M,Allen & Unwin Academic,"Power, Profit and Protest Australian Social Movements and GlobalisationPaperback",https://trove.nla.gov.au/version/260771124,260771124,10215754
David Beirman,2003,OL25538136M,"Crows Nest, N.S.W Allen & Unwin",Restoring tourism destinations in crisis a strategic marketing approach David Beirman,https://trove.nla.gov.au/version/209854145,209854145,10215761
DAVID BEIRMAN,uuuu,OL22537450M,WALLINGFORD CABI PUBLISHING,RESTORING TOURISM DESTINATIONS IN CRISIS: A STRATEGIC MARKETING APPROACH.,https://trove.nla.gov.au/version/207795260,207795260,10215761
Jerry Mander 1954-,1978,OL4544862M,New York Morrow,Four arguments for the elimination of television by Jerry Mander.,https://trove.nla.gov.au/version/207869084,207869084,10223001
"Weller, Patrick Moray.|Jaensch, Dean.",1980,OL3841929M,"Richmond, Vic Drummond Pub. on behalf of the Australasian Political Studies Association",Responsible government in Australia edited by Patrick Weller & Dean Jaensch.,https://trove.nla.gov.au/version/261850053,261850053,10232392
"Michael Francis O'Dwyer|Kent, Jay E.|Brown, R. D.",1978,OL21345783M,New York Springer-Verlag,"Valency M. F. O'Dwyer, J. E. Kent,R. D. Brown.",https://trove.nla.gov.au/version/254018898,254018898,10241957
Ulrike Mosel,1980,OL3860438M,"Canberra Dept. of Linguistics, Research School of Pacific Studies, Australian National University",Tolai and Tok Pisin the influence of the substratum on the development of New Guinea Pidgin by Ulrike Mosel.,https://trove.nla.gov.au/version/261083161,261083161,10247204
Jeannie Baker,1980,OL4405667M,London A. Deutsch,Millicent story and pictures by Jeannie Baker.,https://trove.nla.gov.au/version/170122847,170122847,10251512
Norman Duncan 1871-1916,1915,OL7211860M,New York Harper & brothers,Australian byways the narrative of a sentimental traveler,https://trove.nla.gov.au/version/260716058,260716058,10260789
Norman Duncan 1871-1916,1915,OL25533882M,New York Harper,Australian byways the narrative of a sentimental traveler by Norman Duncan ; illustrated by George Harding :,https://trove.nla.gov.au/version/260744575,260744575,10260789
"Richard Brinsley Sheridan 1751-1816|Dircks, Rudolf",1891,OL25527326M,London W. Scott,"The plays of Sheridan Edited, with an introd. by Rudolf Dircks",https://trove.nla.gov.au/version/209794354,209794354,10268277
Fred Johns 1868-1932,1908,OL7008704M,Adelaide F. Johns,Johns's notable Australians and Who is who in Australasia a dictionary of biography containing records of the careers of men and women of distinction in the commonwealth of Australia and the dominion of New Zealand. By Fred Johns.,https://trove.nla.gov.au/version/1108433,1108433,1027095
Andrea Goldsmith 1950-,2005,OL9664982M,Allen & Unwin,The Prosperous ThiefPaperback,https://trove.nla.gov.au/version/170125862,170125862,10274225
Andrea Goldsmith 1950-,2004,OL24749071M,"Crows Nest, NSW Allen & Unwin",The prosperous thief Andrea Goldsmith,https://trove.nla.gov.au/version/168590081,168590081,10274225
Andrea Goldsmith 1950-,2002,OL3648737M,"Crows Nest, NSW Allen & Unwin",The prosperous thief Andrea Goldsmith.,https://trove.nla.gov.au/version/208083768,208083768,10274225
"Bennett, Jack 1934-",1982,OL4273009M,"Englewood Cliffs, N.J Prentice-Hall",The voyage of the Lucky Dragon by Jack Bennett.,https://trove.nla.gov.au/version/260225126,260225126,10280118
"Vasilʹ Bykaŭ 1924-2003|Bykaŭ, Vasilʹ, 1924-",1981,OL3039820M,"St. Lucia, Qld University of Queensland Press","His battalion ; and, Live until dawn Vasil Bykov ; translated by Jennifer and Robert Woodhouse.",https://trove.nla.gov.au/version/261081077,261081077,10280978
Currey O'Neil,1980,OL20248922M,Brisbane G. Philip & O'Neil,Explore Australia touring for leisure and pleasure.,https://trove.nla.gov.au/version/94191798,94191798,10281714
Paul Radley 1962-,1986,OL2539672M,New York Ticknor & Fields,Jack Rivers and me Paul John Radley.,https://trove.nla.gov.au/version/257747080,257747080,10282178
Reader's Digest Services Pty.,1981,OL3852876M,Sydney Reader's Digest,Wild New Zealand [edited and designed by Reader's Digest Services Pty Ltd].,https://trove.nla.gov.au/version/260214709,260214709,10282511
"Brown, Bob 1944-",2004,OL3370081M,"Camberwell, Vic Penguin",Memo for a saner world Bob Brown.,https://trove.nla.gov.au/version/184909045,184909045,10284019
Adam Shoemaker,2004,OL3461365M,"Canberra, Australia ANU E Press","Black words, white page Aboriginal literature 1929-1988 Adam Shoemaker.",https://trove.nla.gov.au/version/207974688,207974688,10285463
"Joseph Banks 1743-1820|Solander, Daniel Charles, 1733-1782.|Britten, James, 1846-1924.|British Museum (Natural History). Dept. of Botany.",1900,OL14207742M,"London Printed by order of the Trustees of the British Museum, sold by Longmans","Illustrations of Australian plants collected in 1770 during Captain Cook's voyage round the world in H.M.S. Endeavour by the Right Hon. Sir Joseph Banks and Daniel Solander, with determinations by James Britten.",https://trove.nla.gov.au/version/209763266,209763266,10285508
Bryce Courtenay 1933-,2003,OL26577372M,"Toronto, Ont McArthur",Matthew Flinder's cat Bryce Courtenay,https://trove.nla.gov.au/version/261831617,261831617,10285649
Valerie Parv|Copyright Paperback Collection (Library of Congress),2003,OL3386634M,New York Silhouette Books,The prince & the marriage pact Valerie Parv.,https://trove.nla.gov.au/version/184908298,184908298,10286283
Peter Corris,2005,OL8907715M,Allen & Unwin,The Coast RoadPaperback,https://trove.nla.gov.au/version/261872482,261872482,10286707
Greg Egan 1961-,1994,OL548299M,New York HarperPrism,Permutation city Greg Egan.,https://trove.nla.gov.au/version/183604263,183604263,10288563
John Taylor 1953-|Australian National University. Centre for Aboriginal Economic Policy Research|Australian National University (ANU),2004,OL25562546M,Canberra ANU E Press,Aboriginal population profiles for development planning in the Northern East Kimberley J. Taylor /,https://trove.nla.gov.au/version/209849084,209849084,10288709
Ethel Turner 1870-1958,1908,OL7125574M,London Ward Lock,In the mist of the mountains by Ethel Turner (Mrs. H.R. Curlewis). Illustrations by J. Macfarlane.,https://trove.nla.gov.au/version/1613899,1613899,10289015
"Gibbons, John 1946-|Ramirez, Elizabeth, 1961-",2004,OL3289434M,"Clevedon, England Multilingual Matters",Maintaining a minority language a case study of Hispanic teenagers John Gibbons and Elizabeth Ramirez.,https://trove.nla.gov.au/version/208075985,208075985,10292868
Morris West 1916-1999,1976,OL4877952M,New York Morrow,The Navigator Morris West ; [ill. by Terrence M. Fehr].,https://trove.nla.gov.au/version/49126833,49126833,10293726
Beatrice Ethel Grimshaw 1870-1953,1921,OL7113300M,New York The Macmillan company,My South Sea sweetheart by Beatrice Grimshaw.,https://trove.nla.gov.au/version/260720088,260720088,10294973
"Derwent Kell|Mackinnon, Hamilton",1890,OL26260505M,Melbourne Fergusson & Mitchell,"The Austral edition of the selected works of Marcus Clarke, together with a biography and monograph of the deceased author compiled and edited by Hamilton Mackinnon",https://trove.nla.gov.au/version/245475021,245475021,10295022
"Carlon, Patricia 1927-",1996,OL786237M,"New York, USA Soho Press",The Souvenir Patricia Carlon.Paperback,https://trove.nla.gov.au/version/177753506,177753506,10297043
Buddhima Indraratna,2005,OL7493856M,Taylor & Francis,Mechanics of Ballasted Rail Tracks - A geotechnical Perspective,https://trove.nla.gov.au/version/208080889,208080889,10298367
Charles Osborne 1927-,1961,OL5867246M,London Faber and Faber,Australian stories of today.,https://trove.nla.gov.au/version/261826141,261826141,10299206
Candas Jane Dorsey,2002,OL24812723M,"Edmonton, Alta Tesseract Books",Land/space an anthology of prairie speculative fiction edited by Candas Jane Dorsey and Judy Berkyne McCrosky,https://trove.nla.gov.au/version/261838925,261838925,10300461
"F. A. Campbell|Campbell, Alexander James.|Macdonald, D. 1820-1889.|Mueller, Ferdinand von, 1825-1896.",1873,OL6954559M,"Geelong G. Mercer; [etc., etc.","A year in the New Hebrides, Loyalty Islands, and New Caledonia. By F.A. Campbell. With an account of the early history of the New Hebrides missions, by A.J. Campbell ... a narrative of the voyages of the ""Dayspring,"" by D. M'Donald, D.D.; and an appendix, containing a contribution to the phytography of the New Hebrides, by Baron von Mueller ...",https://trove.nla.gov.au/version/49173172,49173172,10301390
Sofie Laguna 1968-,2005,OL3693338M,New York Scholastic,Surviving Aunt Marsha Sofie Laguna.,https://trove.nla.gov.au/version/207869022,207869022,10304503
A. Patchett Martin 1851-1902,1898,OL7010765M,London H. Sotheran & Company,The beginnings of an Australian literature by A. Patchett Martin ...,https://trove.nla.gov.au/version/1112011,1112011,1030466
"Natalie Jane Prior 1963-|Dawson, Janine, ill.",2004,OL3693685M,New York Puffin Books,Lily Quench and the lighthouse of Skellig Mor Natalie Jane Prior ; illustrations by Janine Dawson.,https://trove.nla.gov.au/version/177749908,177749908,10304770
Raimond Gaita 1946-,2005,OL8020922M,Random House Trade Paperbacks,The Philosopher's Dog Friendships with AnimalsPaperback,https://trove.nla.gov.au/version/207869411,207869411,10305190
"Scratchley, Peter Sir 1835-1885|Kinloch-Cooke, Clement, Sir, 1854-1944.",1887,OL22850380M,London Macmillan,"Australian defences and New Guinea compiled from the papers of the late Major-General Sir Peter Scratchley by C. Kinloch Cooke, with an introductory memoir.",https://trove.nla.gov.au/version/260745227,260745227,10309833
"Lang, W H of Australia.|Lambert, George W., illus.",1908,OL6999209M,London and Edinburgh T. C. & E. C. Jack,"Australia by W. H. Lang; with twelve reproductions from original drawings in colour, by G. W. Lambert.",https://trove.nla.gov.au/version/260722158 261852656,260722158 261852656,10312605
"Lang, W H of Australia.|Lambert, George W., ill.",1908,OL7188670M,London and Edinburgh T. C. & E. C. Jack,"Australia by W. H. Lang; with twelve reproductions from original drawings in colour, by G. W. Lambert.",https://trove.nla.gov.au/version/260722158 261852656,260722158 261852656,10312605
"Sean Williams 1967-|Dix, Shane, 1960-|Copyright Paperback Collection (Library of Congress)",2004,OL3388450M,New York Ace Books,Heirs of earth Sean Williams and Shane Dix.,https://trove.nla.gov.au/version/254015532,254015532,10344370
"Cole, Geert.",2003,OL19289955M,Melbourne Lonely Planet,South Pacific Geert Cole ... [et al.].,https://trove.nla.gov.au/version/256424943,256424943,10347046
"Randell, Beverley 1931-|Lowe, Isabel",1993,OL26479848M,"Petone, N.Z Nelson Price Milburn",Father Bear goes fishing story by Beverley Randell ; illustrated by Isabel Lowe,https://trove.nla.gov.au/version/257115045,257115045,10358263
"St. Ledger, Anthony James Joseph 1861-",1919,OL7109940M,London Macmillan,Australian socialism an historical sketch of its origin & developments.,https://trove.nla.gov.au/version/1534909,1534909,1036229
